#Release 12.4 - par M.81d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Mon Apr 16 20:55:06 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       FUNCMEMORY_map.ncd
#OUTPUT FILE:      FUNCMEMORY_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          cp132
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
N5,,DIFFS,IO_L04N_2/D3/GCLK15,UNUSED,,2,,,,,,,,,
N6,,DIFFSI,IP_L05N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
N7,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
N8,,DIFFS,IO_L07N_2/DIN/D0,UNUSED,,2,,,,,,,,,
N9,,,NC,,,,,,,,,,,,
N10,,,NC,,,,,,,,,,,,
N11,,DIFFM,IO_L10P_2/VS2/A19,UNUSED,,2,,,,,,,,,
N12,,DIFFS,IO_L11N_2/CCLK,UNUSED,,2,,,,,,,,,
N13,,DIFFM,IO_L01P_1/A16,UNUSED,,1,,,,,,,,,
N14,,DIFFS,IO_L01N_1/A15,UNUSED,,1,,,,,,,,,
P1,,DIFFM,IO_L02P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
P2,,,VCCINT,,,,,,,,1.2,,,,
P3,,,VCCO_2,,,2,,,,,any******,,,,
P4,,IOB,IO/D5,UNUSED,,2,,,,,,,,,
P5,,,GND,,,,,,,,,,,,
P6,,DIFFM,IO_L06P_2/D2/GCLK2,UNUSED,,2,,,,,,,,,
P7,,DIFFS,IO_L06N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P8,,DIFFM,IO_L07P_2/M0,UNUSED,,2,,,,,,,,,
P9,,,VCCAUX,,,,,,,,2.5,,,,
P10,,,NC,,,,,,,,,,,,
P11,,IBUF,IP/VREF_2,UNUSED,,2,,,,,,,,,
P12,,DIFFM,IO_L11P_2/VS0/A17,UNUSED,,2,,,,,,,,,
P13,,,DONE,,,,,,,,,,,,
P14,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
